id,year,crop,season,min_support_price
603,2002-2003,Soyabeen - Yellow,Kharif,885
604,2002-2003,Sesamum,Kharif,1450
605,2002-2003,Nigerseed,Kharif,1120
606,2002-2003,Wheat,Rabi,620
607,2002-2003,Barley,Rabi,500
608,2002-2003,Gram,Rabi,1220
609,2002-2003,Masur (Lentil),Rabi,1320
610,2002-2003,Rapeseed/Mustard,Rabi,1330
611,2002-2003,Safflower,Rabi,1300
612,2002-2003,Toria,Rabi,1295
613,2002-2003,Copra - Milling,Others,3300
614,2002-2003,Copra - Ball,Others,3550
615,2002-2003,Jute,Others,850
616,2002-2003,Sugarcane ,Others,69.5
617,2002-2003,Tobacco - Black Soil (F2 Gr),Others,28
618,2002-2003,Tobacco - Light Soil (L2 Gr),Others,30
619,2001-2002,Paddy - Common,Kharif,530
620,2001-2002,Paddy - Grade 'A',Kharif,560
621,2001-2002,Jowar - Hybrid,Kharif,485
622,2001-2002,Bajra,Kharif,485
623,2001-2002,Maize,Kharif,485
624,2001-2002,Ragi,Kharif,485
625,2001-2002,Arhar(Tur),Kharif,1320
626,2001-2002,"Moong,",Kharif,1320
627,2001-2002,Urad,Kharif,1320
628,2001-2002,Cotton,Kharif,1675
629,2001-2002,Cotton H-4,Kharif,1875
630,2001-2002,Groundnut In Shell,Kharif,1340
631,2001-2002,Sunflower  Seed,Kharif,1185
632,2001-2002,Soyabeen - Black,Kharif,795
633,2001-2002,Soyabeen - Yellow,Kharif,885
634,2001-2002,Sesamum,Kharif,1400
635,2001-2002,Nigerseed,Kharif,1100
636,2001-2002,Wheat,Rabi,620
637,2001-2002,Barley,Rabi,500
638,2001-2002,Gram,Rabi,1200
639,2001-2002,Masur (Lentil),Rabi,1300
640,2001-2002,Rapeseed/Mustard,Rabi,1300
641,2001-2002,Safflower,Rabi,1300
642,2001-2002,Toria,Rabi,1265
643,2001-2002,Copra - Milling,Others,3300
644,2001-2002,Copra - Ball,Others,3550
645,2001-2002,Jute,Others,810
646,2001-2002,Sugarcane ,Others,62.05
647,2001-2002,Tobacco - Black Soil (F2 Gr),Others,27
648,2001-2002,Tobacco - Light Soil (L2 Gr),Others,29
649,2000-2001,Paddy - Common,Kharif,510
650,2000-2001,Paddy - Grade 'A',Kharif,540
651,2000-2001,Jowar - Hybrid,Kharif,445
652,2000-2001,Bajra,Kharif,445
653,2000-2001,Maize,Kharif,445
654,2000-2001,Ragi,Kharif,445
655,2000-2001,Arhar(Tur),Kharif,1200
656,2000-2001,"Moong,",Kharif,1200
657,2000-2001,Urad,Kharif,1200
658,2000-2001,Cotton,Kharif,1625
659,2000-2001,Cotton H-4,Kharif,1825
660,2000-2001,Groundnut In Shell,Kharif,1220
661,2000-2001,Sunflower  Seed,Kharif,1170
662,2000-2001,Soyabeen - Black,Kharif,775
663,2000-2001,Soyabeen - Yellow,Kharif,865
664,2000-2001,Sesamum,Kharif,1300
665,2000-2001,Nigerseed,Kharif,1025
666,2000-2001,Wheat,Rabi,610
667,2000-2001,Barley,Rabi,500
668,2000-2001,Gram,Rabi,1100
669,2000-2001,Masur (Lentil),Rabi,1200
670,2000-2001,Rapeseed/Mustard,Rabi,1200
671,2000-2001,Safflower,Rabi,1200
672,2000-2001,Toria,Rabi,1165
673,2000-2001,Copra - Milling,Others,3250
674,2000-2001,Copra - Ball,Others,3500
675,2000-2001,Jute,Others,785
676,2000-2001,Sugarcane ,Others,59.5
677,2000-2001,Tobacco - Black Soil (F2 Gr),Others,26
678,2000-2001,Tobacco - Light Soil (L2 Gr),Others,28
679,1999-2000,Paddy - Common,Kharif,490
680,1999-2000,Paddy - Grade 'A',Kharif,520
681,1999-2000,Jowar - Hybrid,Kharif,415
682,1999-2000,Bajra,Kharif,415
683,1999-2000,Maize,Kharif,415
684,1999-2000,Ragi,Kharif,415
685,1999-2000,Arhar(Tur),Kharif,1105
686,1999-2000,"Moong,",Kharif,1105
687,1999-2000,Urad,Kharif,1105
688,1999-2000,Cotton,Kharif,1575
689,1999-2000,Cotton H-4,Kharif,1775
690,1999-2000,Groundnut In Shell,Kharif,1155
691,1999-2000,Sunflower  Seed,Kharif,1155
692,1999-2000,Soyabeen - Black,Kharif,755
693,1999-2000,Soyabeen - Yellow,Kharif,845
694,1999-2000,Sesamum,Kharif,1205
695,1999-2000,Nigerseed,Kharif,915
696,1999-2000,Wheat,Rabi,580
697,1999-2000,Barley,Rabi,430
698,1999-2000,Gram,Rabi,1015
699,1999-2000,Rapeseed/Mustard,Rabi,1100
700,1999-2000,Safflower,Rabi,1100
701,1999-2000,Toria,Rabi,1065
702,1999-2000,Copra - Milling,Others,3100
703,1999-2000,Copra - Ball,Others,3325
704,1999-2000,Jute,Others,750
705,1999-2000,Sugarcane ,Others,56.1
706,1999-2000,Tobacco - Black Soil (F2 Gr),Others,25
707,1999-2000,Tobacco - Light Soil (L2 Gr),Others,27
708,1998-1999,Paddy - Common,Kharif,440
709,1998-1999,Paddy - Grade 'A',Kharif,470
710,1998-1999,Jowar - Hybrid,Kharif,390
711,1998-1999,Bajra,Kharif,390
712,1998-1999,Maize,Kharif,390
713,1998-1999,Ragi,Kharif,390
714,1998-1999,Arhar(Tur),Kharif,960
715,1998-1999,"Moong,",Kharif,960
716,1998-1999,Urad,Kharif,960
717,1998-1999,Cotton,Kharif,1440
718,1998-1999,Cotton H-4,Kharif,1650
719,1998-1999,Groundnut In Shell,Kharif,1040
720,1998-1999,Sunflower  Seed,Kharif,1060
721,1998-1999,Soyabeen - Black,Kharif,705
722,1998-1999,Soyabeen - Yellow,Kharif,795
723,1998-1999,Sesamum,Kharif,1060
724,1998-1999,Nigerseed,Kharif,850
725,1998-1999,Wheat,Rabi,550
726,1998-1999,Barley,Rabi,385
727,1998-1999,Gram,Rabi,895
728,1998-1999,Rapeseed/Mustard,Rabi,1000
729,1998-1999,Safflower,Rabi,990
730,1998-1999,Toria,Rabi,965
731,1998-1999,Copra - Milling,Others,2900
732,1998-1999,Copra - Ball,Others,3125
733,1998-1999,Jute,Others,650
734,1998-1999,Sugarcane ,Others,52.7
735,1998-1999,Tobacco - Black Soil (F2 Gr),Others,22.5
736,1998-1999,Tobacco - Light Soil (L2 Gr),Others,25.5
